z_sphere_mm,alpha_deg,phi_deg,mesh_level,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,release_candidate,status
105.0,-20.0,0.0,LOCAL_M03,0.215605152213,0.0874474073531,0.130102377248,-0.12815774486,0.0426549698952,-0.0855027749645,-0.0451240532377,0.0478874941744,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,45.0,LOCAL_M03,0.215605152213,0.0874474073531,0.208687758743,-0.12815774486,0.12124035139,-0.00691739346995,-0.0320006808226,-0.0593618977163,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,90.0,LOCAL_M03,0.215605152213,0.0874474073531,0.241153386851,-0.12815774486,0.153705979498,0.0255482346382,-0.000215324858104,-0.103913938558,872617,1164638,0.2206,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
105.0,-20.0,135.0,LOCAL_M03,0.215605152213,0.0874474073531,0.208469056333,-0.12815774486,0.12102164898,-0.00713609588001,0.0316242833742,-0.0597084533718,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,180.0,LOCAL_M03,0.215605152213,0.0874474073531,0.129792704888,-0.12815774486,0.0423452975345,-0.0858124473251,0.0448790773914,0.0473966510274,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,225.0,LOCAL_M03,0.215605152213,0.0874474073531,0.0512241511193,-0.12815774486,-0.0362232562338,-0.164381001093,0.031772880216,0.154698469424,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,270.0,LOCAL_M03,0.215605152213,0.0874474073531,0.0187758887774,-0.12815774486,-0.0686715185757,-0.196829263435,-2.90201144633e-05,0.199303982671,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,315.0,LOCAL_M03,0.215605152213,0.0874474073531,0.0514433920717,-0.12815774486,-0.0360040152814,-0.164161760141,-0.0318858038112,0.155046068847,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
105.0,-20.0,360.0,LOCAL_M03,0.215605152213,0.0874474073531,0.130102377214,-0.12815774486,0.0426549698608,-0.0855027749989,-0.045124053224,0.0478874943055,872617,1164638,0.2206,True,MAGNETICALLY_HELD,SUCCESS
110.0,-20.0,0.0,LOCAL_M03,0.0993115950496,-0.0287725367362,0.00652914015337,-0.128084131786,0.0353016768895,-0.0927824548962,-0.039246656274,0.0416273565164,872645,1164684,0.2183,True,MAGNETICALLY_HELD,SUCCESS
