z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
106,-20,90,-0.00754832376611,-0.135710290869,0.0135408397817,-0.128161967103,0.149251130651,0.0210891635478,873119,1165332,0.2162,True,SUCCESS
104,-20,90,-0.109170540323,-0.23735763653,-0.0773399127791,-0.128187096207,0.160017723751,0.0318306275441,872242,1164159,0.208,True,SUCCESS
102,-20,90,0.0453621187532,-0.0827948242493,0.0876869372125,-0.128156943003,0.170481761462,0.0423248184592,872253,1164127,0.2198,True,SUCCESS
100,-20,90,0.0917073285039,-0.0364442468192,0.145445905405,-0.128151575323,0.181890152225,0.0537385769015,872842,1164932,0.2206,True,SUCCESS
98,-20,90,0.0748927904586,-0.0532649656763,0.141285716142,-0.128157756135,0.194550681818,0.0663929256833,872404,1164375,0.2123,True,SUCCESS
96,-20,90,0.125132831413,-0.00309311079545,0.20654278417,-0.128225942209,0.209635894965,0.0814099527565,873085,1165330,0.2206,True,SUCCESS
94,-20,90,-0.107406028162,-0.23545870489,-0.0130854250977,-0.128052676728,0.222373279792,0.0943206030641,872415,1164430,0.2206,True,SUCCESS
92,-20,90,0.0531282025121,-0.0750048604846,0.165058697683,-0.128133062997,0.240063558168,0.111930495171,872708,1164789,0.2206,True,SUCCESS
90,-20,90,-0.157965334484,-0.286168361464,-0.0292308216294,-0.128203026981,0.256937539835,0.128734512855,872619,1164672,0.2117,True,SUCCESS
88,-20,90,0.140235969773,0.012184913712,0.286733707179,-0.128051056061,0.274548793467,0.146497737406,873467,1165768,0.2199,True,SUCCESS
86,-20,90,0.246032955652,0.117840606717,0.414929530917,-0.128192348935,0.2970889242,0.168896575264,873339,1165654,0.2102,True,SUCCESS
84,-20,90,-0.00123683056951,-0.129307133724,0.186528915789,-0.128070303155,0.315836049513,0.187765746359,872526,1164541,0.2206,True,SUCCESS
82,-20,90,0.13988383877,0.0117843080972,0.3507408422,-0.128099530673,0.338956534103,0.21085700343,872057,1163924,0.2189,True,SUCCESS
80,-20,90,-0.0185818322935,-0.146607209843,0.215798118102,-0.12802537755,0.362405327945,0.234379950395,872672,1164761,0.2167,True,SUCCESS
78,-20,90,-0.0895069771113,-0.217668821343,0.169306792448,-0.128161844232,0.386975613791,0.258813769559,872730,1164775,0.2145,True,SUCCESS
76,-20,90,0.22623407933,0.098025781315,0.518409752732,-0.128208298015,0.420383971417,0.292175673402,872221,1164128,0.2089,True,SUCCESS
74,-20,90,0.038647346225,-0.0894539624703,0.356476761462,-0.128101308695,0.445930723933,0.317829415237,871924,1163719,0.2206,True,SUCCESS
72,-20,90,0.0052685761607,-0.122880496022,0.357796741559,-0.128149072182,0.480677237581,0.352528165399,872567,1164608,0.2163,True,SUCCESS
70,-20,90,0.218071051819,0.089982135372,0.593324928697,-0.128088916447,0.503342793325,0.375253876878,871852,1163645,0.22,True,SUCCESS
68,-20,90,-0.0461473637898,-0.174226848169,0.365454863775,-0.128079484379,0.539681711944,0.411602227565,872221,1164092,0.2163,True,SUCCESS
66,-20,90,0.265007965645,0.136714287257,0.719429618046,-0.128293678388,0.582715330789,0.4544216524,872179,1164046,0.2055,True,SUCCESS
60,-20,90,0.0593560504666,-0.0689219463558,0.606661628104,-0.128277996822,0.675583574459,0.547305577637,871414,1163067,0.2103,True,SUCCESS
